name,Category,Addr,analytics,logo
Courtyard Denver Cherry Creek,Category 4,"1475 S. Colorado Blvd Denver, Colorado 80222",Courtyard Denver Cherry Creek 4.3   649 Reviews View Rates,undefined undefined
Courtyard Denver Downtown,Category 5,"934 16th Street Denver, Colorado 80202",Courtyard Denver Downtown 4.3   656 Reviews View Rates,undefined undefined
Courtyard Denver Stapleton,Category 3,"7415 East 41st Avenue Denver, Colorado 80216",Courtyard Denver Stapleton 4   440 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Denver Airport,Category 4,"6851 Tower Road Denver, Colorado 80249",Fairfield Inn & Suites Denver Airport 3.9   430 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/DENFA/denfa-guestroom-1181-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Denver Cherry Creek,Category 4,"1680 South Colorado Blvd Denver, Colorado 80222",Fairfield Inn & Suites Denver Cherry Creek 4.1   450 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/DENFI/denfi-lobby-0012-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Denver Downtown,Category 4,"2747 Wyandot Street Denver, Colorado 80211",Fairfield Inn & Suites Denver Downtown 4.7   272 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/DENFD/denfd-exterior-0002-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Denver Tech Center North,Category 3,"5071 South Syracuse Street Denver, Colorado 80237",Fairfield Inn & Suites Denver Tech Center North 4.3   57 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/DENXN/denxn-exterior-4801-hor-feat.jpg?resize=375:150 undefined
JW Marriott Denver Cherry Creek,Category 5,"150 Clayton Lane Denver, Colorado 80206",JW Marriott Denver Cherry Creek 4.2   505 Reviews View Rates,undefined undefined
Denver Marriott Tech Center,Category 3,"4900 S. Syracuse Street Denver, Colorado 80237",Denver Marriott Tech Center 4.1   920 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Moxy Denver Cherry Creek,Category 4,"240 Josephine Street Denver, Colorado 80206",Moxy Denver Cherry Creek 4.1   341 Reviews View Rates,undefined undefined
Renaissance Denver Downtown City Center Hotel,Category 5,"918 17th Street Denver, Colorado 80202",Renaissance Denver Downtown City Center Hotel 4.5   622 Reviews View Rates,undefined undefined
Renaissance Denver Stapleton Hotel,Category 4,"3801 Quebec Street Denver, Colorado 80207",Renaissance Denver Stapleton Hotel 4   864 Reviews View Rates,undefined undefined
Residence Inn Denver Airport/Convention Center,Category 4,"6762 Tower Road Denver, Colorado 80249",Residence Inn Denver Airport/Convention Center 4.5   182 Reviews View Rates,undefined undefined
Residence Inn Denver Cherry Creek,Category 4,"670 S Colorado Boulevard Denver, Colorado 80246",Residence Inn Denver Cherry Creek 4.5   417 Reviews View Rates,undefined undefined
Residence Inn Denver City Center,Category 4,"1725 Champa Street Denver, Colorado 80202",Residence Inn Denver City Center 4.5   628 Reviews View Rates,undefined undefined
Residence Inn Denver Downtown,Category 4,"2777 Zuni Street Denver, Colorado 80211",Residence Inn Denver Downtown 4.1   526 Reviews View Rates,undefined undefined
Residence Inn Denver Stapleton,Category 3,"4667 North Central Park Boulevard Denver, Colorado 80238",Residence Inn Denver Stapleton 4.4   223 Reviews View Rates,undefined undefined
SpringHill Suites Denver Airport,Category 4,"18350 East 68th Avenue Denver, Colorado 80249",SpringHill Suites Denver Airport 4.3   314 Reviews View Rates,undefined undefined
SpringHill Suites Denver Downtown,Category 4,"1190 Auraria Parkway Denver, Colorado 80204",SpringHill Suites Denver Downtown 4.6   761 Reviews View Rates,undefined undefined
"The Ritz-Carlton, Denver",Category 6,"1881 Curtis Street Denver, Colorado 80202","The Ritz-Carlton, Denver     Open in a different browser tab 4.4   272 Reviews View Rates",undefined undefined
Aloft Denver Downtown,Category 4,"800 15th Street Denver, Colorado 80202",Aloft Denver Downtown 4   229 Reviews View Rates,undefined undefined
Element Denver Downtown East,Category 5,"1314 North Elati Street Denver, Colorado 80204",Element Denver Downtown East 4.4   18 Reviews View Rates,undefined undefined
Element Denver International Airport,Category 4,"6672 Tower Road Denver, Colorado 80249",Element Denver International Airport,undefined undefined
Le Méridien Denver Downtown,Category 5,"1475 California Street Denver, Colorado 80202",Le Méridien Denver Downtown 3.9   189 Reviews View Rates,undefined undefined
Sheraton Denver Downtown Hotel,Category 5,"1550 Court Place Denver, Colorado 80202",Sheraton Denver Downtown Hotel 3.6   2116 Reviews View Rates,undefined undefined
TownePlace Suites Denver Airport at Gateway Park,Category 4,"4100 N. Kittredge Street Denver, Colorado 80239",TownePlace Suites Denver Airport at Gateway Park 4.5   428 Reviews View Rates,undefined undefined
TownePlace Suites Denver Downtown,Category 4,"685 Speer Boulevard Denver, Colorado 80204",TownePlace Suites Denver Downtown 4.1   450 Reviews View Rates,undefined undefined
TownePlace Suites Denver Southeast,Category 3,"3699 South Monaco Parkway Denver, Colorado 80237",TownePlace Suites Denver Southeast 4.1   366 Reviews View Rates,undefined undefined
"Magnolia Hotel Denver, a Tribute Portfolio Hotel",Category 4,"818 17th Street Denver, Colorado 80202","Magnolia Hotel Denver, a Tribute Portfolio Hotel 4   272 Reviews View Rates",undefined undefined
The Westin Denver Downtown,Category 5,"1672 Lawrence Street Denver, Colorado 80202",The Westin Denver Downtown 3.8   875 Reviews View Rates,undefined undefined
The Westin Denver International Airport,Category 5,"8300 Peña Boulevard Denver, Colorado 80249",The Westin Denver International Airport 4.3   630 Reviews View Rates,undefined undefined
Fairfield Inn Deptford,Category 3,"1160 Hurffville Rd. Deptford, New Jersey 08096",Fairfield Inn Deptford 3.8   448 Reviews View Rates,undefined undefined
Residence Inn Deptford,Category 3,"1154 Hurffville Road Deptford, New Jersey 08096",Residence Inn Deptford 3.7   365 Reviews View Rates,undefined undefined
Courtyard Deptford,Category 3,"1251 Hurffville Road Deptford Township, New Jersey 08096",Courtyard Deptford 3.9   234 Reviews View Rates,undefined undefined
AC Hotel Des Moines East Village,Category 3,"401 East Grand Avenue Des Moines, Iowa 50309",AC Hotel Des Moines East Village 4.6   200 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Des Moines Airport,Category 2,"6880 Fleur Drive Des Moines, Iowa 50321",Fairfield Inn & Suites Des Moines Airport 4.6   293 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Des Moines Downtown,Category 3,"207 Crocker Street Des Moines, Iowa 50309",Fairfield Inn & Suites Des Moines Downtown 5   8 Reviews View Rates,undefined undefined
Des Moines Marriott Downtown,Category 4,"700 Grand Avenue Des Moines, Iowa 50309",Des Moines Marriott Downtown 4.2   868 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Renaissance Des Moines Savery Hotel,Category 4,"401 Locust Street Des Moines, Iowa 50309",Renaissance Des Moines Savery Hotel 3.8   309 Reviews View Rates,undefined undefined
Residence Inn Des Moines Downtown,Category 3,"100 SW Water Street Des Moines, Iowa 50309",Residence Inn Des Moines Downtown 4.5   374 Reviews View Rates,undefined undefined
Four Points by Sheraton Seattle Airport South,Category 4,"22406 Pacific Highway South Des Moines, Washington 98198",Four Points by Sheraton Seattle Airport South 4   359 Reviews View Rates,undefined undefined
Courtyard Chicago O'Hare,Category 3,"2950 S. River Road Des Plaines, Illinois 60018",Courtyard Chicago O'Hare 4.3   490 Reviews View Rates,undefined undefined
TownePlace Suites Dallas DeSoto,Category 2,"2700 Travis Street DeSoto, Texas 75115",TownePlace Suites Dallas DeSoto 4   311 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Destin,Category 5,"19001 Emerald Coast Parkway Destin, Florida 32541",Fairfield Inn & Suites Destin 4.5   570 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/VPSDF/vpsdf-exterior-0004-hor-feat.jpg?resize=375:150 undefined
Courtyard Sandestin at Grand Boulevard,Category 4,"100 Grand Boulevard Destin/Miramar Beach, Florida 32550",Courtyard Sandestin at Grand Boulevard 4.6   951 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/VPSCY/vpscy-courtyard-0060-hor-feat.jpg?resize=375:150 undefined
Residence Inn Sandestin at Grand Boulevard,Category 4,"300 Grand Boulevard Destin/Miramar Beach, Florida 32550",Residence Inn Sandestin at Grand Boulevard 4.7   675 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/VPSRI/vpsri-boulevard-0052-hor-feat.jpg?resize=375:150 undefined
Courtyard Detroit Downtown,Category 4,"333 East Jefferson Ave Detroit, Michigan 48226",Courtyard Detroit Downtown 4.2   983 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/DTWDC/dtwdc-applebees-0065-hor-feat.jpg?resize=375:150 undefined
Detroit Marriott at the Renaissance Center,Category 5,"Renaissance Center, 400 Renaissance Drive Detroit, Michigan 48243",Detroit Marriott at the Renaissance Center 4   2722 Reviews View Rates,undefined undefined
Aloft Detroit at The David Whitney,Category 4,"One Park Avenue Detroit, Michigan 48226",Aloft Detroit at The David Whitney 4.3   266 Reviews View Rates,undefined undefined
Element Detroit at the Metropolitan,Category 4,"33 John R Street Detroit, Michigan 48226",Element Detroit at the Metropolitan 4.5   111 Reviews View Rates,undefined undefined
The Westin Book Cadillac Detroit,Category 5,"1114 Washington Boulevard Detroit, Michigan 48226",The Westin Book Cadillac Detroit 4.1   1077 Reviews View Rates,
The Westin Detroit Metropolitan Airport,Category 5,"2501 Worldgateway Place Detroit, Michigan 48242",The Westin Detroit Metropolitan Airport 4.2   625 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Detroit Lakes,Category 4,"102 West Lake Drive Detroit Lakes, Minnesota 56501",Fairfield Inn & Suites Detroit Lakes 4.8   156 Reviews View Rates,undefined undefined
SpringHill Suites Devens Common Center,Category 2,"27 Andrews Parkway Devens, Massachusetts 01434",SpringHill Suites Devens Common Center 4.5   411 Reviews View Rates,undefined undefined
TownePlace Suites Dickinson,Category 1,"240 29th Street West Dickinson, North Dakota 58601",TownePlace Suites Dickinson 4.7   206 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Dickson,Category 4,"147 Gum Branch Road Dickson, Tennessee 37055",Fairfield Inn & Suites Dickson 4.6   194 Reviews View Rates,undefined undefined
TownePlace Suites Dodge City,Category 1,"2800 West Wyatt Earp Boulevard Dodge City, Kansas 67801",TownePlace Suites Dodge City 4.5   268 Reviews View Rates,undefined undefined
AC Hotel Miami Airport West/Doral,Category 3,"8091 NW 36th Street Doral, Florida 33166",AC Hotel Miami Airport West/Doral 4.6   83 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Miami Airport West/Doral,Category 3,"8051 NW 36th Street Doral, Florida 33166",Fairfield Inn & Suites Miami Airport West/Doral 4.4   162 Reviews View Rates,undefined undefined
Residence Inn Miami Airport West/Doral,Category 3,"3450 NW 91st Avenue Doral, Florida 33172",Residence Inn Miami Airport West/Doral 4.7   430 Reviews View Rates,undefined undefined
Aloft Miami Doral,Category 3,"3265 NW 107th Avenue Doral, Florida 33172",Aloft Miami Doral 4   302 Reviews View Rates,undefined undefined
Courtyard Dothan,Category 2,"3040 Ross Clark Circle Dothan, Alabama 36301",Courtyard Dothan 4.1   333 Reviews View Rates,undefined undefined
Fairfield Inn Dothan,Category 2,"3038 Ross Clark Circle Dothan, Alabama 36301",Fairfield Inn Dothan 4.2   287 Reviews View Rates,undefined undefined
Residence Inn Dothan,Category 2,"186 Hospitality Lane Dothan, Alabama 36303",Residence Inn Dothan 4.6   285 Reviews View Rates,undefined undefined
TownePlace Suites Dothan,Category 2,"201 Retail Drive Dothan, Alabama 36303",TownePlace Suites Dothan 4.8   223 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Douglas,Category 1,"1815 South Peterson Avenue Douglas, Georgia 31533",Fairfield Inn & Suites Douglas 4.6   188 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Dover,Category 2,"655 North Dupont Highway Dover, Delaware 19901",Fairfield Inn & Suites Dover 4   306 Reviews View Rates,undefined undefined
Residence Inn Dover,Category 3,"600 Jefferic Blvd Dover, Delaware 19901",Residence Inn Dover 4.5   428 Reviews View Rates,undefined undefined
TownePlace Suites Dover Rockaway,Category 3,"4 Commerce Center Drive Dover, New Jersey 07801",TownePlace Suites Dover Rockaway 4.4   159 Reviews View Rates,undefined undefined
Chicago Marriott Suites Downers Grove,Category 3,"1500 Opus Place Downers Grove, Illinois 60515",Chicago Marriott Suites Downers Grove 4.5   721 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Fairfield Inn Salt Lake City Draper,Category 3,"12117 S. State St. Draper, Utah 84020",Fairfield Inn Salt Lake City Draper 4.4   297 Reviews View Rates,undefined undefined
SpringHill Suites Salt Lake City Draper,Category 3,"12111 South State Street Draper, Utah 84020",SpringHill Suites Salt Lake City Draper 4.7   405 Reviews View Rates,undefined undefined
TownePlace Suites Salt Lake City Draper,Category 3,"13690 South 100 East Draper, Utah 84020",TownePlace Suites Salt Lake City Draper 4.8   6 Reviews View Rates,undefined undefined
AC Hotel Columbus Dublin,Category 3,"6540 Riverside Drive Dublin, Ohio 43017",AC Hotel Columbus Dublin 4.6   348 Reviews View Rates,undefined undefined
Courtyard Columbus Dublin,Category 3,"5175 Post Road Dublin, Ohio 43017",Courtyard Columbus Dublin 4.5   434 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Dublin,Category 2,"620 Pinehill Road Dublin, Georgia 31021",Fairfield Inn & Suites Dublin 4.5   119 Reviews View Rates,undefined undefined
Marriott Columbus Northwest,Category 3,"5605 Blazer Pkwy Dublin, Ohio 43017",Marriott Columbus Northwest 4.3   567 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Residence Inn Columbus Dublin,Category 3,"6364 Frantz Road Dublin, Ohio 43017",Residence Inn Columbus Dublin 4.7   268 Reviews View Rates,undefined undefined
Aloft Dublin-Pleasanton,Category 4,"4075 Grafton Street Dublin, California 94568",Aloft Dublin-Pleasanton 4.3   90 Reviews View Rates,undefined undefined
Fairfield Inn & Suites DuBois,Category 2,"2219 Bee Line Highway DuBois, Pennsylvania 15801",Fairfield Inn & Suites DuBois 4.9   508 Reviews View Rates,undefined undefined
Fairfield Inn Dubuque,Category 3,"3400 Dodge Street Dubuque, Iowa 52003",Fairfield Inn Dubuque View Rates,undefined undefined
TownePlace Suites Dubuque Downtown,Category 3,"1151 Washington Street Dubuque, Iowa 52001",TownePlace Suites Dubuque Downtown 4.6   74 Reviews View Rates,undefined undefined
Courtyard Dulles Town Center,Category 2,"45500 Majestic Drive Dulles, Virginia 20166",Courtyard Dulles Town Center 4.6   525 Reviews View Rates,undefined undefined
Washington Dulles Airport Marriott,Category 4,"45020 Aviation Drive Dulles, Virginia 20166",Washington Dulles Airport Marriott 4.2   711 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/IADAP/iadap-exterior-0061-hor-feat.jpg?resize=375:150 undefined
Residence Inn Dulles Airport at Dulles 28 Centre,Category 3,"45250 Monterey Place Dulles, Virginia 20166",Residence Inn Dulles Airport at Dulles 28 Centre 4.9   443 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/IADRI/iadri-lobby-0031-hor-feat.jpg?resize=375:150 undefined
Courtyard Atlanta Duluth/Gwinnett Place,Category 2,"3550 Venture Parkway Duluth, Georgia 30096",Courtyard Atlanta Duluth/Gwinnett Place 4.3   594 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ATLGM/atlgm-guestroom-0055-hor-feat.jpg?resize=375:150 undefined
Courtyard Atlanta NE/Duluth Sugarloaf,Category 3,"1948 Satellite Boulevard Duluth, Georgia 30097",Courtyard Atlanta NE/Duluth Sugarloaf 4.7   329 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ATLDU/atldu-exterior-0001-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Atlanta Gwinnett Place,Category 2,"3570 Breckinridge Blvd. Duluth, Georgia 30096",Fairfield Inn & Suites Atlanta Gwinnett Place 4.3   486 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Duluth Waterfront,Category 4,"1000 Minnesota Avenue Duluth, Minnesota 55802",Fairfield Inn & Suites Duluth Waterfront 4.6   174 Reviews View Rates,undefined undefined
Residence Inn Atlanta Duluth/Gwinnett Place,Category 2,"1760 Pineland Road Duluth, Georgia 30096",Residence Inn Atlanta Duluth/Gwinnett Place 4   339 Reviews View Rates,undefined undefined
Residence Inn Atlanta NE/Duluth Sugarloaf,Category 3,"1940 Satellite Boulevard Duluth, Georgia 30097",Residence Inn Atlanta NE/Duluth Sugarloaf 4.6   408 Reviews View Rates,undefined undefined
Residence Inn Duluth,Category 4,"517 West Central Entrance Duluth, Minnesota 55811",Residence Inn Duluth 4.7   332 Reviews View Rates,undefined undefined
Sheraton Duluth Hotel,Category 5,"301 East Superior Street Duluth, Minnesota 55802",Sheraton Duluth Hotel 3.9   469 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Greenville Spartanburg/Duncan,Category 3,"149 Rogers Bridge Road Duncan, South Carolina 29334",Fairfield Inn & Suites Greenville Spartanburg/Duncan View Calendar,undefined undefined
"Fenway Hotel, Autograph Collection",Category 5,"453 Edgewater Drive Dunedin, Florida 34698","Fenway Hotel, Autograph Collection 4.8   156 Reviews View Rates",undefined undefined
Fairfield Inn & Suites Dunn I-95,Category 2,"688 Jackson Road Dunn, North Carolina 28334",Fairfield Inn & Suites Dunn I-95 4.6   417 Reviews View Rates,undefined undefined
Residence Inn Atlanta Perimeter Center/Dunwoody,Category 3,"4695 Ashford Dunwoody Road Dunwoody, Georgia 30346",Residence Inn Atlanta Perimeter Center/Dunwoody 4.8   244 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Tacoma DuPont,Category 3,"1515 Wilmington Drive DuPont, Washington 98327",Fairfield Inn & Suites Tacoma DuPont 4.7   134 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Durango,Category 5,"21719 West US Highway 160 Durango, Colorado 81301",Fairfield Inn & Suites Durango 4.4   270 Reviews View Rates,undefined undefined
Residence Inn Durango,Category 5,"21691 US Highway 160 West Durango, Colorado 81301",Residence Inn Durango 4.6   313 Reviews View Rates,undefined undefined
Courtyard Durham Near Duke University/Downtown,Category 2,"1815 Front Street Durham, North Carolina 27705",Courtyard Durham Near Duke University/Downtown 4.1   506 Reviews View Rates,undefined undefined
Courtyard Durham Research Triangle Park,Category 2,"301 Residence Inn Boulevard Durham, North Carolina 27713",Courtyard Durham Research Triangle Park 4.4   306 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Durham Southpoint,Category 2,"7807 Leonardo Drive Durham, North Carolina 27713",Fairfield Inn & Suites Durham Southpoint 4.4   382 Reviews View Rates,undefined undefined
Durham Marriott City Center,Category 4,"201 Foster Street Durham, North Carolina 27701",Durham Marriott City Center 4.2   512 Reviews View Rates,undefined undefined
Marriott at Research Triangle Park,Category 3,"4700 Guardian Drive Durham, North Carolina 27703",Marriott at Research Triangle Park 4.4   554 Reviews View Rates,undefined undefined
Residence Inn Durham McPherson/Duke University Medical Center Area,Category 4,"1108 West Main Street Durham, North Carolina 27701",Residence Inn Durham McPherson/Duke University Medical Center Area 4.8   385 Reviews View Rates,undefined undefined
Residence Inn Durham Research Triangle Park,Category 2,"201 Residence Inn Blvd. Durham, North Carolina 27713",Residence Inn Durham Research Triangle Park 4.4   373 Reviews View Rates,undefined undefined
SpringHill Suites Durham Chapel Hill,Category 3,"5310 McFarland Drive Durham, North Carolina 27707",SpringHill Suites Durham Chapel Hill 4.7   616 Reviews View Rates,undefined undefined
SpringHill Suites Raleigh-Durham Airport/Research Triangle Park,Category 2,"920 Slater Road Durham, North Carolina 27703",SpringHill Suites Raleigh-Durham Airport/Research Triangle Park 4.2   555 Reviews View Rates,undefined undefined
Aloft Durham Downtown,Category 4,"345 Blackwell Street Durham, North Carolina 27701",Aloft Durham Downtown 4.4   158 Reviews View Rates,undefined undefined
Sheraton Imperial Hotel Raleigh-Durham Airport at Research Triangle Park,Category 3,"4700 Emperor Blvd, I-40 at Exit 282 (Page Road) Durham, North Carolina 27703",Sheraton Imperial Hotel Raleigh-Durham Airport at Research Triangle Park 4   527 Reviews View Rates,undefined undefined
Residence Inn Minneapolis St. Paul/Eagan,Category 3,"1560 Quarry Road Eagan, Minnesota 55121",Residence Inn Minneapolis St. Paul/Eagan 4.7   92 Reviews View Rates,undefined undefined
SpringHill Suites Minneapolis-St. Paul Airport/Eagan,Category 2,"3635 Crestridge Drive Eagan, Minnesota 55122",SpringHill Suites Minneapolis-St. Paul Airport/Eagan 4.3   458 Reviews View Rates,undefined undefined
TownePlace Suites Minneapolis-St. Paul Airport/Eagan,Category 2,"3615 Crestridge Drive Eagan, Minnesota 55122",TownePlace Suites Minneapolis-St. Paul Airport/Eagan 4   201 Reviews View Rates,undefined undefined
TownePlace Suites Eagle Pass,Category 1,"2033 North Veterans Boulevard Eagle Pass, Texas 78852",TownePlace Suites Eagle Pass 4.6   306 Reviews View Rates,undefined undefined
Residence Inn St. Louis Airport/Earth City,Category 2,"3290 Rider Trail South Earth City, Missouri 63045",Residence Inn St. Louis Airport/Earth City 4.3   278 Reviews View Rates,undefined undefined
New York LaGuardia Airport Marriott,Category 5,"102-05 Ditmars Boulevard East Elmhurst, New York 11369",New York LaGuardia Airport Marriott 3.9   523 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Aloft New York LaGuardia Airport,Category 5,"100-15 Ditmars Boulevard East Elmhurst, New York 11369",Aloft New York LaGuardia Airport 4.1   140 Reviews View Rates,undefined undefined
Fairfield Inn & Suites East Grand Forks,Category 2,"514 Gateway Drive NE East Grand Forks, Minnesota 56721",Fairfield Inn & Suites East Grand Forks 4.8   177 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Albany East Greenbush,Category 1,"124 Troy Road East Greenbush, New York 12061",Fairfield Inn & Suites Albany East Greenbush 4.4   334 Reviews View Rates,undefined undefined
Residence Inn Albany East Greenbush/Tech Valley,Category 2,"3 Tech Valley Drive East Greenbush, New York 12061",Residence Inn Albany East Greenbush/Tech Valley 4.7   334 Reviews View Rates,undefined undefined
Marriott East Lansing at University Place,Category 5,"300 M.A.C. Avenue East Lansing, Michigan 48823",Marriott East Lansing at University Place 4.4   470 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Residence Inn East Lansing,Category 3,"2841 Hannah Boulevard East Lansing, Michigan 48823",Residence Inn East Lansing 4.8   279 Reviews View Rates,undefined undefined
SpringHill Suites East Lansing University Area,Category 3,"1100 Trowbridge Road East Lansing, Michigan 48823",SpringHill Suites East Lansing University Area 4.8   77 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/LANSL/lansl-exterior-6605-hor-feat.jpg?resize=375:150 undefined
TownePlace Suites East Lansing,Category 3,"2855 Hannah Boulevard East Lansing, Michigan 48823",TownePlace Suites East Lansing 4.7   280 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/LANTS/lants-exterior-5480-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Peoria East,Category 2,"200 Eastlight Court East Peoria, Illinois 61611",Fairfield Inn & Suites Peoria East 4.4   351 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/PIAPE/piape-exterior-8033-hor-feat.jpg?resize=375:150 undefined
Courtyard Atlanta Airport West,Category 3,"3400 Creek Pointe Drive East Point, Georgia 30344",Courtyard Atlanta Airport West 4.3   667 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ATLCW/atlcw-guestroom-0045-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Atlanta Airport North,Category 3,"1255 Walker Avenue East Point, Georgia 30344",Fairfield Inn & Suites Atlanta Airport North 4.3   428 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Chattanooga South/East Ridge,Category 3,"1453 North Mack Smith Road East Ridge, Tennessee 37412",Fairfield Inn & Suites Chattanooga South/East Ridge 4.6   490 Reviews View Rates,undefined undefined
Fairfield Inn East Rutherford Meadowlands,Category 3,"850 Paterson Plank Road East Rutherford, New Jersey 07073",Fairfield Inn East Rutherford Meadowlands 4.5   496 Reviews View Rates,undefined undefined
Residence Inn East Rutherford Meadowlands,Category 3,"10 Murray Hill Parkway East Rutherford, New Jersey 07073",Residence Inn East Rutherford Meadowlands 4.3   443 Reviews View Rates,undefined undefined
Courtyard Syracuse Carrier Circle,Category 2,"6415 Yorktown Circle East Syracuse, New York 13057",Courtyard Syracuse Carrier Circle 4.4   456 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Syracuse Carrier Circle,Category 2,"6593 Weighlock Drive East Syracuse, New York 13057",Fairfield Inn & Suites Syracuse Carrier Circle 4.8   355 Reviews View Rates,undefined undefined
Residence Inn Syracuse Carrier Circle,Category 2,"6420 Yorktown Circle East Syracuse, New York 13057",Residence Inn Syracuse Carrier Circle 4.4   283 Reviews View Rates,undefined undefined
SpringHill Suites Syracuse Carrier Circle,Category 2,"6580 Weighlock Drive East Syracuse, New York 13057",SpringHill Suites Syracuse Carrier Circle 4.5   386 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Wenatchee,Category 4,"201 Valley Mall Parkway East Wenatchee, Washington 98802",Fairfield Inn & Suites Wenatchee 4.7   24 Reviews View Rates,undefined undefined
Four Points by Sheraton Eastham Cape Cod,Category 5,"3800 State Highway Eastham, Massachusetts 02642",Four Points by Sheraton Eastham Cape Cod 3.8   381 Reviews View Rates,undefined undefined
Four Points by Sheraton Cleveland-Eastlake,Category 2,"35000 Curtis Boulevard Eastlake, Ohio 44095",Four Points by Sheraton Cleveland-Eastlake 3.9   67 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Easton,Category 4,"8945 Sunflower Drive Easton, Maryland 21601",Fairfield Inn & Suites Easton 4.8   335 Reviews View Rates,undefined undefined
TownePlace Suites Bethlehem Easton/Lehigh Valley,Category 3,"3800 Easton/Nazareth Highway Easton, Pennsylvania 18045",TownePlace Suites Bethlehem Easton/Lehigh Valley 4.3   314 Reviews View Rates,undefined undefined
Sheraton Eatontown Hotel,Category 3,"6 Industrial Way East Eatontown, New Jersey 07724",Sheraton Eatontown Hotel 3.4   418 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Eau Claire Chippewa Falls,Category 3,"1666 Princeton Crossing Eau Claire, Wisconsin 54703",Fairfield Inn & Suites Eau Claire Chippewa Falls 4.8   346 Reviews View Rates,undefined undefined
Courtyard Minneapolis Eden Prairie,Category 3,"11391 Viking Drive Eden Prairie, Minnesota 55344",Courtyard Minneapolis Eden Prairie 4.4   418 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Minneapolis Eden Prairie,Category 3,"11325 Viking Drive Eden Prairie, Minnesota 55344",Fairfield Inn & Suites Minneapolis Eden Prairie 4.6   305 Reviews View Rates,undefined undefined
Residence Inn Minneapolis Eden Prairie,Category 3,"7780 Flying Cloud Drive Eden Prairie, Minnesota 55344",Residence Inn Minneapolis Eden Prairie 4.4   377 Reviews View Rates,undefined undefined
SpringHill Suites Minneapolis Eden Prairie,Category 3,"11552 Leona Road Eden Prairie, Minnesota 55344",SpringHill Suites Minneapolis Eden Prairie 4.4   371 Reviews View Rates,undefined undefined
TownePlace Suites Minneapolis Eden Prairie,Category 3,"11588 Leona Road Eden Prairie, Minnesota 55344",TownePlace Suites Minneapolis Eden Prairie 4.3   235 Reviews View Rates,undefined undefined
